ID,Smiles,AXp-2d,BCUTdv-1l,BCUTZ-1h,SpMax_A,BCUTd-1h,AETA_eta_F,BCUTZ-1l,Xc-5dv,BCUTs-1h,BCUTd-1l,Toxic
252,N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.2947584698979382,1.8967667643605084,9.01529042875034,2.476667974280345,4.022247996775154,1.0379129933420002,5.692463546309528,0.1305576342407608,8.00925056369266,0.9777716102083356,1
316,CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0.2912316349865362,0.6495398630006707,16.005567290725768,2.4163040628042234,3.233650541278052,0.6032803093187091,5.706521237501351,0.2915173567796918,7.008293028665852,0.9728879581380858,1
428,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,0.2947372235139506,0.9949368852990006,8.028856049328763,2.4321740177237774,3.241257422257028,0.7511448275476431,5.672501730982769,0.0502961158827728,7.008272147507384,0.9778727637097472,1
147,CC1=[N+]([O-])C=C(N=C1)C(O)=O                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.3181144592808468,0.99595295958854,8.028804148271044,2.292455515247133,3.17974724959066,0.8305990740120393,5.784424791133369,0.0432821524372113,8.001916820588765,0.9728999117595342,0
451,NCCNCCNCCNCCN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.3801800468490422,1.8903196950703904,7.02541450113792,1.949855824363648,2.2005622190817484,0.3683555161903621,5.883772143722401,0.0,4.005944791521663,0.9871436102085966,0
341,CCCN1C[C@H](CSC)C[C@H]2[C@H]1CC1=CNC3=CC=CC2=C13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0.2641080402789728,0.6269669928526975,16.00221210223693,2.5625304546764287,3.286184827640191,0.4812117598964146,5.668987314654402,0.1883841655659586,2.569500635998046,0.9871441656724992,1
458,CN[C@H]1CC[C@@H](C2=CC=C(Cl)C(Cl)=C2)C2=C1C=CC=C2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,0.275787066139827,0.7729040642153028,17.002139198170283,2.460036638326318,3.2277237359953146,0.7794485307515725,5.681363563711594,0.2278668908915024,2.531454854906558,0.9877953160578192,1
67,CC1=CC(=CC(C)=C1OC1=C(Br)C(N)=NC(NC2=CC=C(C=C2)C#N)=N1)C#N                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,0.287247975516649,0.2560131621409209,35.000418260299426,2.4147219809907248,3.238739150809819,1.129747622410222,5.680725888882859,0.1671332070535574,6.0284626365796825,0.9108647699173278,1
313,CC1(C)SC2C(NC(=O)C(N)C3=CC=CC=C3)C(=O)N2C1C([O-])=O                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0.2799218735931896,0.6593575575898818,16.002003820919235,2.6310254785324645,4.023076676320798,0.8332574024009624,5.693902571033379,0.4271767657202486,8.001938314431206,0.9725415312869248,0
130,ClC1=CC=C(CCC(CN2C=CN=C2)SC2=C(Cl)C=CC=C2Cl)C=C1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0.2983468428972547,0.6593483359420204,17.003150918446774,2.341640601296524,3.230153083487986,0.8479439604590937,5.693984139833068,0.2004459314343183,3.0443575742874738,0.992940902930553,0
386,CC(C)N1C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,0.2966141185912259,0.9889381992633212,9.004070574185887,2.5532249979665487,3.326198577477883,0.9938215710814504,5.667884983031265,0.1754643817289917,8.001920953952053,0.9726629659188144,1
165,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1CCCO1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,0.2731653647744611,0.9966232906142234,8.022686414155926,2.46675131664822,3.246088861770139,0.9195589886999808,5.680050446860845,0.1150841976098743,7.008271088932325,0.9779373454121312,0
291,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,0.2954479616754744,0.6503273845368819,16.004502630515635,2.356729498762701,3.175379195378936,0.8535573916518803,5.686750202402853,0.1275595735275512,7.009369629809258,0.9726784378020624,0
404,NCC(O)C1=CC=C(O)C(O)=C1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,0.3070770080008116,1.9783129363502423,8.00868634473341,2.302478757188797,3.179472267660358,0.7556889652832443,5.692580003614387,0.0470956976391759,6.004914617306519,0.987562173554174,0
